stfeco,stfgov,stflife,stfdem,bailout,Bailout,income,government,gndr,agea,eduyrs,hinctnta,partner,uemp3m,polintr,lrscale,region_north,region_east,region_west,region_south
5,7,8,8,1,1,6,0,1,53,18,6,2,2,1,1,0,0,1,0
7,6,8,8,0,0,4,1,1,59,18,4,2,2,2,4,0,0,1,0
4,3,7,6,1,1,3,0,2,60,20,3,2,2,1,3,0,0,1,0
10,10,10,10,1,1,9,0,2,48,18,9,1,1,2,2,0,0,1,0
4,3,7,4,0,0,3,NA,2,52,9,3,2,1,3,6,0,0,1,0
5,6,8,8,0,0,2,1,2,67,10,2,2,2,3,0,0,0,1,0
9,3,8,8,0,0,5,NA,2,28,12,5,1,1,2,4,0,0,1,0
7,6,7,8,1,1,3,0,1,54,11,3,2,1,1,5,0,0,1,0
8,7,10,8,0,0,10,0,1,60,23,10,1,2,1,3,0,0,1,0
3,4,2,4,1,1,3,1,2,80,11,3,2,2,2,5,0,0,1,0
8,5,6,5,1,1,10,NA,1,30,17,10,2,2,4,3,0,0,1,0
7,6,8,7,1,1,1,0,2,27,20,1,2,2,1,7,0,0,1,0
4,5,6,6,1,1,8,0,2,37,19,8,1,NA,3,5,0,0,1,0
7,5,6,5,1,1,7,0,1,32,18,7,2,1,2,2,0,0,1,0
6,5,7,5,1,1,NA,0,1,40,18,NA,2,NA,2,6,0,0,1,0
8,7,8,7,1,1,9,NA,1,28,19,9,2,2,2,9,0,0,1,0
NA,6,8,6,1,1,NA,1,1,85,11,NA,1,NA,3,3,0,0,1,0
3,3,7,NA,1,1,3,NA,2,29,23,3,2,2,2,6,0,0,1,0
7,6,7,10,1,1,3,NA,1,15,9,3,2,2,4,NA,0,0,1,0
4,7,9,7,1,1,4,1,1,31,18,4,1,2,2,7,0,0,1,0
2,5,1,8,0,0,3,NA,1,76,10,3,2,2,4,4,0,0,1,0
9,8,8,8,1,1,5,1,2,28,22,5,2,1,4,5,0,0,1,0
3,5,6,4,1,1,NA,1,2,22,16,NA,2,NA,2,6,0,0,1,0
6,7,10,8,1,1,NA,1,1,93,15,NA,2,NA,3,8,0,0,1,0
4,4,5,5,1,1,4,1,1,45,16,4,1,1,3,5,0,0,1,0
3,1,8,1,1,1,4,0,2,39,10,4,1,1,2,5,0,0,1,0
6,7,7,7,1,1,7,1,1,31,18,7,1,1,2,8,0,0,1,0
6,7,6,8,0,0,1,NA,1,24,18,1,2,2,2,8,0,0,1,0
3,7,8,8,1,1,NA,1,2,72,18,NA,2,NA,1,2,0,0,1,0
5,4,8,6,1,1,NA,0,1,53,12,NA,1,NA,3,7,0,0,1,0
8,6,7,8,1,1,6,0,2,47,20,6,2,1,2,3,0,0,1,0
7,4,10,1,1,1,3,0,2,48,18,3,2,1,2,3,0,0,1,0
7,6,8,7,0,0,10,NA,1,46,20,10,1,2,2,5,0,0,1,0
6,7,9,7,1,1,9,0,1,48,14,9,1,2,2,6,0,0,1,0
6,7,10,9,1,1,9,NA,2,28,17,9,1,1,2,2,0,0,1,0
7,8,7,7,0,0,5,0,2,28,20,5,2,2,2,5,0,0,1,0
5,7,9,7,1,1,5,0,2,49,17,5,2,1,3,3,0,0,1,0
5,4,6,5,1,1,2,0,2,30,11,2,1,1,3,5,0,0,1,0
4,5,8,9,1,1,10,1,1,61,18,10,1,2,1,2,0,0,1,0
8,8,9,7,1,1,4,0,2,77,12,4,2,2,3,7,0,0,1,0
7,6,7,7,0,0,5,1,2,27,16,5,1,1,2,6,0,0,1,0
7,6,8,7,0,0,5,0,2,58,13,5,2,2,2,2,0,0,1,0
9,9,8,NA,1,1,2,NA,1,38,20,2,1,2,3,NA,0,0,1,0
8,5,6,6,0,0,6,1,2,61,12,6,2,2,2,3,0,0,1,0
7,6,8,8,0,0,6,0,1,79,15,6,2,2,2,9,0,0,1,0
5,6,7,8,0,0,NA,0,2,46,10,NA,1,NA,3,6,0,0,1,0
6,1,8,3,0,0,7,0,1,37,14,7,1,2,2,8,0,0,1,0
5,4,7,7,0,0,5,1,1,40,11,5,1,2,2,8,0,0,1,0
5,3,7,7,0,0,6,1,1,50,13,6,1,1,3,6,0,0,1,0
6,6,9,7,0,0,7,1,1,71,20,7,1,2,3,2,0,0,1,0
4,5,5,5,0,0,2,1,2,65,8,2,2,2,3,5,0,0,1,0
8,7,7,7,1,1,1,1,1,73,6,1,2,2,4,8,0,0,1,0
7,6,7,7,1,1,4,1,1,52,15,4,2,1,3,4,0,0,1,0
