nomem_encr,cv08a043,cv09b043,cv08a030,cv09b030,income,government,eco,gov,cv09b038,cv08a038,cv09b039,cv08a039,cv09b040,cv08a040,cv09b041,cv08a041,cv09b042,cv08a042,cv09b044,cv08a044,cv09b045,cv08a045,cv09b046,cv08a046
800042,5,3,5,5,NA,0,-2,0,7,6,6,6,4,5,4,4,6,6,6,5,7,6,6,6
800057,8,6,6,6,7,0,-2,0,8,8,7,8,7,7,7,7,7,9,6,8,8,8,8,8
800076,7,6,6,6,1,0,-1,0,5,5,6,7,6,7,7,8,7,7,NA,7,8,8,7,7
800119,6,6,5,7,1,NA,0,2,5,5,7,7,8,6,8,7,7,7,7,6,7,7,5,NA
800158,7,7,7,7,NA,0,0,0,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
800170,7,4,4,3,3,0,-3,-1,4,6,4,6,8,7,5,6,8,7,4,8,5,8,4,8
800186,7,5,7,7,4,1,-2,0,5,7,7,8,8,8,8,8,8,8,5,6,7,7,3,6
800201,7,7,6,5,4,0,0,-1,5,6,7,6,7,6,7,6,7,6,7,6,7,6,7,5
800204,4,1,3,1,4,0,-3,-2,1,4,1,3,2,4,2,4,3,5,2,3,2,3,2,0
800256,7,6,5,6,NA,NA,-1,1,4,3,5,4,5,4,5,4,7,5,7,6,6,5,6,6
800326,8,7,3,2,5,0,-1,-1,8,3,8,7,4,5,7,8,8,9,6,NA,8,5,7,NA
800360,7,6,7,7,5,1,-1,0,6,6,7,7,7,7,7,7,8,8,6,7,7,7,6,6
800372,6,6,7,5,1,NA,0,-2,5,6,5,5,5,4,5,6,5,6,4,6,6,6,4,6
800375,7,5,4,4,NA,0,-2,0,6,5,4,4,5,5,6,6,5,6,4,6,7,7,NA,5
800387,7,7,5,7,NA,0,0,2,7,7,6,5,7,6,7,7,7,8,7,7,7,7,7,7
800393,7,6,6,6,5,0,-1,0,6,6,7,7,7,7,7,7,6,7,6,7,7,7,7,6
800399,7,7,7,8,4,1,0,1,5,2,7,7,7,7,7,8,7,7,8,7,7,8,7,7
800424,4,1,2,1,4,NA,-3,-1,1,4,5,5,4,4,4,5,4,7,3,6,6,7,6,5
800430,8,8,7,6,NA,NA,0,-1,8,9,10,9,5,2,7,7,10,9,10,9,10,8,8,6
800442,5,5,5,5,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
800500,3,1,2,1,1,NA,-2,-1,1,2,2,3,2,2,0,1,2,4,1,1,2,4,1,3
800503,6,6,8,7,1,1,0,-1,4,6,6,5,8,6,9,7,9,9,8,8,8,8,5,6
800509,8,8,6,8,7,NA,0,2,7,6,8,8,7,6,6,7,8,8,8,8,8,8,7,8
800527,7,5,5,6,1,0,-2,1,6,4,5,6,7,7,7,7,7,7,6,5,6,7,6,5
800534,7,5,5,7,1,NA,-2,2,7,6,7,7,6,6,8,7,7,7,7,8,6,5,6,7
800537,7,4,5,5,NA,NA,-3,0,3,5,5,7,6,7,5,7,4,6,5,6,3,7,5,6
800546,5,5,3,3,1,0,0,0,3,4,4,4,5,4,5,5,4,6,5,5,5,6,6,5
800552,5,5,4,7,NA,0,0,3,2,2,7,4,6,5,6,5,7,6,6,6,5,6,3,4
800585,7,5,5,5,1,0,-2,0,5,6,5,6,5,4,5,6,6,7,5,6,5,6,8,6
800601,7,5,3,5,1,0,-2,2,3,5,6,6,5,6,6,6,7,7,6,7,7,8,4,5
800607,4,5,3,5,4,0,1,2,4,2,4,3,4,3,4,2,5,5,6,3,6,5,5,2
800637,7,6,6,6,1,0,-1,0,7,6,7,7,6,6,6,6,7,7,7,6,7,7,7,6
